Question,Category,Date Opened,Date Resolved,Priority,Resolution Notes,Status,Where Resolved
Quality bar and validation criteria for the simulation harness,Product,"May 7, 2026",,Medium,"Full simulation harness committed for MVP, but the threshold for 'good enough' is not yet defined. Harness catches obvious failures (arc never ends, killer never identified, safety triggers wrong) but does not predict whether real groups enjoy a session. Need to define: pass/fail criteria for synthetic runs, when to ship Nightcap based on harness results vs real playtests.",Open,First few weeks of harness usage; tune thresholds based on what synthetic runs reveal.
Verify specific GPT-OSS-Safeguard 20B pricing and integration on Groq before MVP build,Product,"May 7, 2026",,High,Groq pricing for GPT-OSS 20B was visible (input $0.075/M cached) but full output rate and integration via LiteLLM need verification. NVIDIA acquired Groq in Dec 2025; build for portability via LiteLLM abstraction.,Open,Pre-MVP build kickoff (Chat 7 or first implementation session in Claude Code).
"Cloud SQL PostgreSQL specific configuration at MVP (instance class, storage, backup retention)",Product,"May 7, 2026",,Medium,Decided on Cloud SQL PostgreSQL but not the specific tier. db-f1-micro is the smallest; db-g1-small or shared-core may be needed for prod traffic. Storage starts at 10GB. Free GCP credits ($300) cover ~20 months of minimum config. Specific config TBD when actual session volume materializes.,Open,Implementation kickoff in Claude Code; revisit at first month of real traffic.
"Full telemetry schema for Tier 2 fine-tuning viability (Chat 6 deliverable, RESOLVED)",Product,"May 7, 2026","May 7, 2026",Medium,"Designed in Chat 6a (May 7, 2026). MVP minimum signals: arc beat engagement duration, pacing intervention triggers/outcomes, knowledge state constraint activations, session completion status, replay intent. Tier 2 signals (designed, partial implementation at MVP): generation_logs table, decision_logs table, quality signals, player engagement depth, knowledge graph evolution snapshots, safety classifier outcomes, character behavior consistency, group dynamics signals. Embedding-ready schema. Full schema in Chat 6b handoff prompt.",Resolved,"Chat 6a, May 7, 2026. Schema documented in Chat 6b handoff."
Which voice synthesis service to integrate for future games that want voice (ElevenLabs vs OpenAI vs Replica vs other),Product,"May 7, 2026",,Low,"Out of scope for Nightcap MVP (web app, text-based). Becomes relevant for monster RPG or couch co-op if voice acting is desired. Architecture supports voice via voice_hint in content event presentation_hints. Game layer integrates with whichever TTS service it chooses.",Parked,Per-game decision when voice is in scope. H2 monster RPG or H2/H3 couch co-op.
When to add Layer 4 (post-generation safety) to the safety pipeline,Product,"May 7, 2026",,Medium,"Layer 4 deferred at MVP per Chat 6a Round 3 commitment, with watchpoint to add if real sessions surface output problems. Trigger: any single output incident or pattern of borderline output that the main LLM produces.",Open,First N (N=10-20) real-user playtests post-MVP. Review safety logs and adjust.
When in H2/H3 to begin building the visual arc builder,Product,"May 7, 2026",,Medium,"Schema designed for visual-builder-readiness at MVP. Implementation timing depends on external developer adoption signal (closed beta opens) and design bandwidth. Watch for: external developers asking for non-code authoring, designer/storyteller hires.",Parked,"H2 review when external developer beta is being scoped, or earlier if a strategic design hire joins."
When does external developer access to the platform open (Horizon 2 closed beta scope and selection),Product,"May 7, 2026",,Medium,"PRD says external developer beta is H2 priority gated by Nightcap proving the platform internally. Selection process not yet defined: invite-only, application-based, or specific partner-targeted. Documentation maturity is also a gating factor.",Open,H2 planning chat when proof signals are within 1-2 quarters of hitting H2 entry.
"Open source self-hosting break-even (Chat 6 deliverable, RESOLVED)",Product,"May 7, 2026","May 7, 2026",High,"Calculated in Chat 6a (May 7, 2026). At managed API rates (Anthropic Sonnet 4.6 + Groq GPT-OSS-Safeguard) per-session cost is ~$0.20 with prompt caching. Self-hosting Llama 3.3 70B-class on a single A100 80GB at $2/hr does not break even with managed pricing until ~25,000-50,000 sessions/month, depending on utilization. Conclusion: stay on managed APIs through H2. Architecture supports switching via LiteLLM abstraction (routing-table change, not rewrite). Tier 2 fine-tuning trigger is ~25K sessions/month.",Resolved,"Chat 6a, May 7, 2026."
What platform capabilities should the third game (couch co-op) validate beyond Nightcap and monster RPG,Product,"May 7, 2026",,Medium,"Deferred per Chat 6a Option B (couch co-op design). Architecture validation in Chat 6b uses placeholder capabilities (shared screen rendering, local input, low-latency same-room mechanics, mixed cooperative-competitive structure). Genre and specific mechanics decision belongs in a future dedicated chat.",Open,"Chat 8.5 or equivalent dedicated to couch co-op design, post Nightcap MVP."
At what session volume does open source self-hosting become cheaper than managed API pricing?,Product,"May 5, 2026","May 7, 2026",High,"Chat 6 must calculate break-even given: projected token consumption per session at each player count, GPU instance costs for open source inference, and managed API pricing at projected volume tiers. This determines when and whether to trigger Tier 2 infrastructure.",Resolved,Chat 6 (Technical Architecture)
What are the H2-to-H3 transition signal thresholds?,Roadmap,"May 5, 2026",,Medium,"Specific thresholds for external developer adoption count, recurring revenue target, and enterprise contract value are not yet defined. Current gate criteria are qualitative. Specific numbers needed before H2 begins.",Open,"TBD, likely H2 review when proof signals are approaching"
"What platform capability gaps should the third game close, and which game closes them?",Product,"May 5, 2026",,High,"Nightcap and monster RPG together cover: linear arc, emergent narrative, knowledge graph, multi-surface routing, world state persistence, procedural generation, dynamic difficulty, player motivation inference. Remaining candidates: asynchronous play, very short sessions (under 10 minutes), solo adaptive experience, real-time competitive mechanics.",Open,"Before monster RPG ships, so third game can enter development without a gap"
Which role does the first co-founder or senior hire fill?,Hiring,"May 5, 2026",,High,"Candidate roles: creative director, technical co-founder, GTM co-founder. Answer depends on which gap is most painful when proof signals are met. Per 01-Strategy-Document: decide before talking to candidates, not while talking to them.",Open,Decision made when H1 proof signals hit; must be made before talking to candidates
What does the enterprise team-building product look like as a distinct arc type?,Product,"May 5, 2026","May 19, 2026",High,Resolved by D-046: enterprise is a portfolio of arc templates running on the same Arcwright platform. The platform is shared; products are distinct.,Resolved,D-046
"When does the platform open to external developers, and what is the closed beta selection process?",Roadmap,"May 5, 2026",,High,"H2 gate assumes a closed beta is active with at least five developers building non-Nightcap experiences. Selection criteria, recruitment approach, and beta terms not yet defined.",Open,"TBD, likely H1-to-H2 transition review"
What is the full telemetry schema required for Tier 2 fine-tuning viability?,Product,"May 5, 2026",,Medium,"MVP minimum signals are defined in 06-PRD-v1 Section 7. Richer schema (dialogue quality signals, per-character engagement depth, relationship graph evolution) required before fine-tuning is viable. Chat 6 should design the full schema even if only minimum signals are implemented at MVP.",Open,Chat 6 (Technical Architecture)
Does the Nightcap competitive window (estimated 12-18 months before the category is crowded) require changes to Horizon 1 sequencing or proof signal targets?,Roadmap,"May 4, 2026",,High,,Open,Next Monthly Review Log entry; may require explicit timeline discussion before Chat 6
What is the Arcwright approach to adaptive individual learning (the DuoLingo-style vertical) and when does it become a priority?,Roadmap,"May 4, 2026",,Low,,Parked,Post-MVP vertical strategy review; not a Horizon 1 concern
"What are the specific product requirements for the Arcwright engine? What must it do, what are the non-negotiables, and what are the integration surfaces?",Product,"May 4, 2026",,Critical,,Open,Chat 5.5 (PRD session) before Chat 6 (Technical Architecture)
Has trademark counsel cleared Nightcap for registration in Class 41 and 9?,IP and Legal,"May 3, 2026",,Critical,"Conflicts identified in Chat 4: Studio Nightcap (Pittsburgh indie studio, murder mystery genre) and NBA Nightcap (Amazon Prime, Class 41 entertainment). Fallback committed: Revel. Do not use Nightcap in public launch materials until cleared.",Open,Separate counsel engagement before public launch of the game
"What does the Arcwright enterprise team-building product look like, and is it Nightcap itself or a distinct product?",Product,"May 4, 2026",,High,,Open,Chat 9 (Enterprise Sales Playbook) or a dedicated Horizon 2 planning session
When should trademark filings be initiated for Arcwright and Arcwright Studios?,IP and Legal,"May 3, 2026",,High,Filing checklist in 04-Naming-and-Brand-v1. Recommendation: engage counsel before MVP launch. Class 42 (software) and Class 41 (entertainment) for Arcwright. Estimated $250 to $350 per class via USPTO TEAS Plus.,Open,11-Monthly-Review-Log or separate IP chat before MVP launch
Should domains and social handles for Arcwright and Nightcap be registered immediately?,IP and Legal,"May 3, 2026",,Critical,"Priority list in 04-Naming-and-Brand-v1. http://arcwright.com, http://arcwright.ai, http://arcwright.io, http://arcwrightstudios.com are highest priority. Also claim social handles before any public announcement.",Open,"Action item, no chat needed. Do this within 48 hours."
"When proof signals hit, which co-founder/hire gap will be most painful?",Hiring,"May 1, 2026",,Medium,"Candidates: creative director, technical co-founder, GTM co-founder. Decision deferred but the deliberation framework must be in place beforehand.",Open,Pre-Horizon-2 review when proof signals are within 1-2 quarters of hitting. Must be evaluated deliberately before talking to candidates.
What is the platform name?,Naming and Brand,"May 1, 2026","May 3, 2026",High,Narrata and Plotforge ruled out. Need new candidates.,Resolved,Platform name committed as Arcwright in Chat 4. See 04-Naming-and-Brand-v1 and Decisions Log entry dated 2026-05-03.
"Article topic to write later: 'What current AI products get wrong about people, stories, and play'",Content,"May 1, 2026",,Low,Captured during mission-discovery work. Founder explicitly wants to write this later. Surfaced 9 specific traps the article could explore.,Parked,Separate article-writing chat when ready for public-facing content marketing.
What are the qualification criteria and pricing structure for the mission-aligned pricing tier (Horizon 3+)?,Capital Strategy,"May 1, 2026",,Low,"Need to define: who qualifies, what discount, what governance prevents abuse. Not blocking near-term work.",Parked,Horizon 3 strategic chat. Long deferral.
Is 'Nightcap' available for trademark registration in the games category?,IP and Legal,"May 1, 2026",,High,"Working title used in all materials until clearance is confirmed. If unavailable, need fallback name before public launch.",Blocked,Game name (murder mystery): Nightcap retained pending trademark counsel clearance; fallback committed as Revel
What are the specific Horizon 2 transition signals beyond the base 2-of-3-and-2-of-3?,Roadmap,"May 1, 2026",,Medium,"Candidates: second product in development, first paying enterprise customer, X external developers. Define specific thresholds.",Open,Quarterly or pre-transition review. Likely resolved before Horizon 1 exits.
"Is the monster RPG a Horizon 1, Horizon 2, or Horizon 3 product?",Product,"May 1, 2026",,Medium,"Currently parked at 'TBD, likely Horizon 2.' Decision affects Story Bible 08 and resource allocation.",Open,Product roadmap chat.
What are the specific thresholds for Horizon 2 to Horizon 3 transition?,Roadmap,"May 1, 2026",,Low,"Categories committed: (a) external developer adoption count, (b) recurring revenue $X ARR, (c) enterprise contract value $Y. Specific thresholds TBD.",Open,Quarterly review or pre-transition strategic chat.
What does 'runway' mean specifically for this company?,Capital Strategy,"May 1, 2026",,Medium,"Candidates: months of personal expenses covered, months of build-while-employed runway, months post-going-full-time. Need to define before fundraising decisions.",Open,Capital strategy refinement. Likely resolved before Stage 0 to Stage 1 transition.
"Enterprise buyer receptiveness: which buyer persona (HR, L&D, events manager) responds to the Arcwright team-building concept when shown prototype footage, and what does that change about the enterprise arc design?",Product,"May 11, 2026",,High,,Open,"H1 buyer interviews, before designing enterprise arc"
External developer demand validation: has the API documentation and arc schema format been shown to at least 10 target external developers with their feedback and pilot intent recorded before the H2 closed beta opens?,Product,"May 11, 2026",,High,,Open,"H1 field work, before H2 closed beta"
"Story structure templates as first-class platform objects: the current arc schema includes arc_structure as a metadata string field but the engine does not use it to scaffold beat definitions or pacing defaults. Should story structure templates (Dan Harmon, Hero's Journey, etc.) be first-class platform objects that pre-populate beat scaffolding for arc authors, or is this purely an authoring-layer concern deferred to the no-code arc builder in Horizon 2? Resolution must clarify whether arc_structure remains decorative metadata at MVP or whether the engine needs to understand it functionally.",Product,"May 14, 2026","May 15, 2026",High,"Resolved in Chat 7 Story Bible. Story Circle is now a first-class platform object. arc_structure: ""story_circle"" scaffolds 8 pre-populated beat containers with story_circle_step, structural_function, dramatic_purpose, emotional_target, information_goal, tension_target, and character_emphasis fields. The engine uses structural intent as a functional input for generation context, pacing calibration, and ensemble coordination. arc_structure is no longer decorative metadata. arc_structure value changed from dan_harmon to story_circle. Technical Architecture updated to v1.2 with full schema changes. Story structure templates are first-class platform objects at MVP, not deferred to Horizon 2.",Resolved,docs/story-bibles/nightcap-murder-mystery.md | docs/architecture/ | docs/product/decisions-log.csv
"Killer assignment behavioral signal specification: what specific signals does the engine track per player during beats 1-4 to inform assignment, what are the interaction triggers that can accelerate the decision, and how is this configuration expressed in the arc definition?",Product,"May 15, 2026",,High,"D-058 narrows v1: behavioral-read output is captured in schema but not wired into killer assignment until v1.1. v1 killer assignment is constrained-random behind the existing assignment interface. Resolve v1.1 signal wiring before continuity-era killer assignment work.",Open,"v1.1 planning before behavioral signals influence killer assignment."
"Nightcap rendering layer specification: how does Nightcap's shared display and phone client map ContentEvent presentation_hints (animation_hint, lighting_hint, emotion) to specific pre-produced assets, animations, and UI states?",Product,"May 15, 2026",,High,,Open,
"Runtime vs pre-produced aesthetic asset A/B test: when should this experiment be designed and run, what quality and cost metrics determine the winner, and what triggers the transition from pre-produced to runtime generation if runtime wins?",Product,"May 15, 2026",,Medium,,Open,
"Conspirator guess mechanic: what is the UX on the killer device for the guess interaction, how is the leverage message generated at the prompt engineering level, and how does this event sequence integrate into the session flow?",Product,"May 15, 2026",,Medium,,Open,
"Accusation and voting display design: what does the Jackbox-style voting reveal screen look like per aesthetic theme, what is the animation and pacing model, and how is it specified as a ContentEvent type in the engine?",Product,"May 15, 2026",,Medium,,Open,
"Nightcap era and occasion list finalization: which specific era/occasion combinations are in scope for v1 launch, what are the art production deliverables per theme, and who produces them?",Content,"May 15, 2026",,High,"Product review narrowed v1 launch slate to two or three era/occasion themes selected from the existing Story Bible list; remainder is post-proof content production.",Open,"Resolve before v1 content production planning."
"Mini-game content type specification: what game formats are in scope for beats 1-3, what is the killer assignment signal output schema, and how do aesthetics adapt mini-game presentation?",Product,"May 15, 2026",,High,,Open,
"NPC player slot (AI-controlled participant) implementation: what is the engine component scope, response loop design, and delivery surface for AI-controlled participants who hold information states and can be the killer?",Product,"May 15, 2026",,High,"D-052 defers interrogatable AI participants to v1.1. This now gates Story Bible support for 2-3 player sessions because those sessions require AI participants that fill empty player slots, hold private knowledge state, and can be the killer.",Open,"Resolve during v1.1 planning before claiming 2-3 player support."
Should NPC tool availability be gated by narrative state rather than relying on prompt engineering alone?,Product,"May 17, 2026",,Critical,"Now blocking and due this cycle before M2 engine work begins. Existing recommendation should be converted into a decision, not left as an open-ended question.",Open,"Decision due before M2 engine work begins."
What is the three-layer memory architecture for Arcwright NPCs?,Product,"May 17, 2026",,Critical,"Now blocking and due this cycle before M2 engine work begins. Existing recommendation for identity, episodic, and world-state memory should be converted into a decision, not left as an open-ended question.",Open,"Decision due before M2 engine work begins."
What are Arcwright's narrative quality metrics for evaluating Nightcap sessions?,Product,"May 17, 2026",,High,"Product review requires Nightcap narrative quality metrics before the first M3 simulation-harness batch runs: mystery fairness and all necessary clues accessible, NPC character consistency across the session, player-choice consequence, and pacing appropriateness.",Open,"Resolve before first M3 simulation-harness batch run."
"Should NPC actions in Nightcap be exclusively routed through a finite, defined tool call vocabulary?",Product,"May 17, 2026",,Critical,"Now blocking and due this cycle before M2 engine work begins. Existing tool-as-interface recommendation should be converted into a decision, not left as an open-ended question.",Open,"Decision due before M2 engine work begins."
