Decision,Date,Rationale,Section,Status,Tags
Going full-time and entering Horizon 2 are explicitly NOT the same event,"May 1, 2026","There is a window of full-time-but-still-Horizon-1 where the founder works full-time on the existing wedge before earning the right to expand scope. Prevents failure mode of 'I went full-time, so I should be doing more things.' Reinforces earned-evolution pillar.",Section 7: Proof Signals,Committed,"pillars, roadmap"
Strike 'non-profit arm' from Strategy Doc; replace with mission-aligned pricing tier,"May 1, 2026","Original 'non-profit arm' language implied a structural commitment (separate 501(c)(3) entity) that founder did not actually mean. New language: 'Mission-aligned pricing tier within the for-profit company for under-resourced institutions, education, cultural. Deferred to Horizon 3+. Exact structure and qualification criteria TBD.'",Section 5: Capital Strategy,Committed,capital
First co-founder/senior hire post-MVP: role decision deferred,"May 1, 2026","Will be made when proof signals hit, based on which gap is most painful at that moment. Candidate roles are creative director/design lead, technical co-founder, or GTM co-founder. Avoids pre-committing to a hire profile before knowing which gap is actually blocking. Watchpoint: deliberate evaluation must happen before talking to candidates, not while talking to them.",Section 6: Team and Hiring,Watchpoint,hiring
Adopted one-line description of the company,"May 1, 2026","Selected variant emphasizing developer/technical positioning, then revised to use 'adaptive experiences' instead of 'narrative personalization' (founder felt latter was diminishing). Final form: '[Company] is building the infrastructure for adaptive experiences: an API for stories, games, and simulations that respond to the people inside them, and the games that prove what becomes possible.' Colon structure preserves rhythm without em dashes.",Section 1: Company Overview,Committed,mission
"Year range guidance: H1 = 6-12mo, H2 = 12-24mo, H3+ = 24+ mo","May 1, 2026","Tighter than original 12-18/12-30/30+ proposal. Founder chose ambitious-stretch interpretation. Watchpoint: 6-month floor is aggressive while building part-time; 12-month floor is more realistic. Treat 6-month as ambitious-stretch goal, not commitment.",Section 3: Three-Horizon Roadmap,Watchpoint,roadmap
Proof signal framework adopted: 2-of-3 product AND 2-of-3 business signals to go full-time,"May 1, 2026","Same base criteria for Horizon 1-to-2 transition, plus Horizon 2-specific signals (TBD). Two-axis test ensures both product and business validation before scope expansion or full-time commitment.",Section 7: Proof Signals,Committed,roadmap
Source of truth for documents: Notion (database-structured workspace),"May 1, 2026","Notion chosen over Google Drive for database structure (Decisions Log, Open Questions, future trackers), cross-linking between artifacts, and queryability via connector. Foundation artifacts created directly in Notion via connector rather than manual paste-from-markdown workflow.",Section 8: Tool Stack,Committed,workflow
Revenue-based financing accepted as Stage 1 alternative if terms preserve control,"May 1, 2026",Founder explicitly opted in. Provides non-dilutive path for founders willing to accept structured payback. Same control-preserving constraints as equity.,Section 5: Capital Strategy,Committed,capital
Founder control operationally defined,"May 1, 2026","Founder-controlled means: 51%+ voting control indefinitely, 51%+ economic ownership through capital-efficient growth as long as feasible, no unilateral investor power to redirect mission/force exit/remove founder/override strategy without founder consent, board seats earned by contribution not granted as permanent authority. Provides operational definition that capital strategy can reference when evaluating term sheets.",Section 5: Capital Strategy,Committed,capital
Horizon 2 enterprise wedge: team building and corporate events (combined as one category),"May 1, 2026",Confirmed as the right wedge. Combined to capture related buyer profiles.,Section 4: Vertical Strategy,Committed,verticals
"Decline for now: clinical healthcare, K-12 institutional sales, therapy as clinical product","May 1, 2026","Regulatory burden, sales-cycle pain, and clinical risk are too high for current company size. Revisit only with strategic partners who handle regulation.",Section 4: Vertical Strategy,Committed,verticals
"Horizon 1 hiring rule: case-by-case, no hard contractor-only mandate","May 1, 2026","Default leans toward contractors. Equity-bearing collaborators are an exception requiring deliberate written justification, vesting schedule (4-year with 1-year cliff standard), and reverse-vesting clause. Looser than original 'contractors only' rule, but with guardrails to prevent casual equity grants in early stage.",Section 6: Team and Hiring,Watchpoint,hiring
Adopted six strategic pillars,"May 1, 2026","Pillars: (1) Earned-evolution; (2) Founder-controlled and profit-first; (3) Platform and games both get protected time; (4) Human-led, AI-augmented; (5) Quality and ambition over scale and speed; (6) Build for unrepeatability. Original draft had seven candidates; pillars 4 and 5 (human-led + co-authorship) collapsed into one. Renamed 'Pixar-first, Valve-second, Stripe-later' to 'earned-evolution' for less informal phrasing.",Section 2: Strategic Pillars,Committed,pillars
"Capital staging defined: Stage 0 bootstrap, Stage 1 $100K-$500K @ 5-10%, Stage 2 $1M-$3M @ 15-20%, Stage 3+ Series A only if scaling on founder's terms","May 1, 2026","Profit-first capital efficiency. Each stage is optional and triggered by specific conditions, not a default fundraising path. Default assumption: no Series A unless something specific changes the calculus.",Section 5: Capital Strategy,Committed,capital
Reframe Strategy Doc framing from 'platform plus games' to 'creative work plus the infrastructure that makes ambitious creative work possible',"May 1, 2026","Mission-discovery surfaced that creative work is the spine, infrastructure is the means. Original platform-first framing misread the founder's center of gravity. Pixar-first, Valve-second, Stripe-later progression.",Cross-cutting,Committed,"mission, pillars, roadmap"
Adopted mission statement (v1),"May 1, 2026","Two-sentence form: 'Our mission is to make adaptive experiences that move people. We do it by treating every player as a co-author, not an audience, so that imagination is the only ceiling.' Two sentences chosen for separation of what (sentence 1) from how (sentence 2). Built via fill-in-the-blank scaffolding from founder's responses to mission-discovery questions.",Section 1: Company Overview,Committed,mission
"Horizon 1 narrowed to a single wedge vertical: adult social party games, with Nightcap as the wedge product","May 1, 2026","Original list had four active verticals (games, interactive fiction, kids', team building). Four verticals at once is too dilutive for a part-time founder. Other verticals move to Horizon 2 or later.",Section 4: Vertical Strategy,Committed,verticals
Three-horizon framing uses proof-signal-gated phases,"May 1, 2026","Year ranges are illustrative guidance only, not commitments. Avoids brittleness of calendar-based commitments while building part-time. Phases advance based on what's been proven, not what date it is.",Section 3: Three-Horizon Roadmap,Committed,roadmap
Platform name committed: Arcwright,"May 3, 2026","Arcwright selected as platform name after a two-round candidate process. Compound coinword: arc (narrative arc, structural span, precision) plus wright (craftsperson, as in playwright, wheelwright). Cleared all eight due-diligence checks: no trademark conflicts found, http://arcwright.com/.ai/.io appear unregistered, social handles available, no negative linguistic associations, no active brand conflicts in adjacent spaces. Pretentiousness flag (wright suffix not universally known) raised and consciously accepted. Finalists considered before Arcwright was selected: Narrata (eliminated: http://narrat.dev active in same space), Lore (eliminated: generic in gaming, not trademarkable), PlotForge (eliminated: three active competitors using exact name). See 04-Naming-and-Brand-v1 for full due diligence record.",Section 1: Company Overview,Committed,"IP, mission"
Game name (murder mystery): Nightcap retained pending trademark counsel clearance; fallback committed as Revel,"May 3, 2026","Nightcap retained as working title pending formal trademark counsel review. Two material conflicts identified: Studio Nightcap (active indie game studio in Pittsburgh, currently developing a murder mystery game, same genre as Nightcap) and NBA Nightcap (Amazon Prime Video post-game show, active Class 41 entertainment brand). Counsel must clear or reject before any public launch materials use the name. Fallback committed: Revel. Revel selected for warmth, social energy, and clean conflict landscape. Last Call ruled out (active murder mystery party game product). Guilty Party ruled out (Disney Interactive 2011 Wii murder mystery game, same genre, uncertain trademark lapse status). Monster RPG name deferred to Chat 8 (Story Bible: Monster RPG).",Cross-cutting,Blocked,IP
Company name committed: Arcwright Studios publicly; Arcwright Studios Inc. as legal entity on incorporation,"May 3, 2026","Company name unified with platform name. Studios suffix leans into Horizon 1 creative identity (Pixar-shape: creative studio with internal infrastructure). Horizon 2 friction (selling a B2B API platform under a Studios name) explicitly named and consciously accepted. Legal entity: Arcwright Studios Inc., to be filed in Delaware on incorporation. No conflicts found for Arcwright Studios as a compound: Arc Games, Arc System Works, and arc GAME STUDIO are distinct names in different territory.",Section 1: Company Overview,Committed,"IP, mission"
Individual AI roleplay training is explicitly declined as an Arcwright market category,"May 4, 2026","This category (sales roleplay, skills training tools) is crowded and requires deep LMS/CRM integration that is incompatible with Arcwright's current stage and platform direction. Adaptive individual learning (e.g., DuoLingo-style personalization) is a separate, future vertical signal that may be on-mission post-MVP but is not the same category and is not a current priority.",Section 4: Vertical Strategy,Committed,verticals
A Product Requirements Document (PRD) session is required before Chat 6 (Technical Architecture),"May 4, 2026","Without a PRD, Chat 6 becomes half requirements-gathering and half architecture, which wastes the architecture session. A lightweight PRD (1-2 pages capturing what the Arcwright engine must do, key design constraints, non-negotiables, integration surfaces) gives Chat 6 clear requirements to design against.",Section 8: Tool Stack,Committed,"roadmap, workflow"
"Enterprise Horizon 2 wedge is team building and corporate events (combined), explicitly not individual corporate training","May 4, 2026","Competitive analysis confirmed the individual AI roleplay training market (Second Nature, Mindtickle, Hyperbound, etc.) is crowded, commoditizing, and requires deep LMS/CRM integration from day one. It is the wrong wedge. The enterprise category of AI-powered group narrative experience for team building does not yet exist as a recognized product category. No established competitor is selling it. This is the open territory for Horizon 2.",Section 4: Vertical Strategy,Committed,verticals
"The Arcwright platform moat is personalization depth, not authoring tooling","May 4, 2026","Authoring tooling can be commoditized. The depth of runtime personalization (how well the platform understands who is in the room, their history, preferences, and relationships) is the differentiator that determines the ceiling of what any designed arc can produce. This is an architectural priority, not a product features priority.",Section 2: Strategic Pillars,Committed,"pillars, roadmap"
Content safety architecture: layered model with platform hard stops and developer-configurable rails,"May 5, 2026","Platform enforces absolute hard stops (CSAM, real violence instructions) at the model call layer, not the output filter layer. Everything outside hard stops is developer-configurable. The murder mystery genre is adjacent to dark content. The Latitude/AI Dungeon CSAM crisis is the failure mode this architecture exists to prevent.",Section 2: Strategic Pillars,Committed,pillars
Developer offering at MVP: API plus hosted dashboard,"May 5, 2026","Developers get an API (session management, character management, knowledge state management, content event streaming) and a hosted dashboard (arc authoring, session monitoring, usage management). No-code arc builder for non-developer creators is explicitly deferred post-MVP. Dashboard assumes developers who can read structured data.",Cross-cutting,Committed,roadmap
North star progression confirmed: Pixar to Valve to Stripe (B to A)","May 5, 2026","Arcwright starts as a creative studio with internal infrastructure (Pixar-shape), grows to studio-plus-platform with a small external developer base (Valve-shape), and matures into a platform-first company with an active studio (Stripe-shape). Games are the primary product and identity through at least H1 and H2. The platform API opens to external developers only after internal games have proven it. This progression was implicit in the strategy document; this session made it explicit as a filter for all product decisions.",Section 3: Three-Horizon Roadmap,Committed,"pillars, roadmap"
PRD scope set to full professional document (up to 10 pages),"May 5, 2026","The Decisions Log from Chat 5 described a lightweight PRD (1-2 pages). The Chat 5.5 prompt specified a full professional PRD. Founder confirmed full scope: buildable specification for a technical architect, PM, and future co-founder, not a constraints brief.",Cross-cutting,Committed,workflow
Unified character model with split behavior source,"May 5, 2026","Every character (human-controlled or AI-driven) is the same object type: identity, personality profile, goals, knowledge state, relationship graph. Behavior source differs: AI characters have a generation engine; human characters have an input channel. Required for the monster RPG (player and NPC are interchangeable) and for Nightcap (players are characters in the story, not observers).",Section 2: Strategic Pillars,Committed,pillars
"Multi-surface routing follows the Jackbox model: platform emits tagged content events, game layer handles routing","May 5, 2026","The platform produces content events tagged with context (who the event is for, what triggered it, current session state). The game layer (Nightcap) decides what renders on which surface. The platform never knows what a TV or phone is. Keeps the engine surface-agnostic and generalizable to any delivery format.",Section 2: Strategic Pillars,Committed,pillars
"Knowledge state management is always included, never optional; schema complexity is what is tiered by plan","May 5, 2026","Making knowledge state optional would allow developers to ship experiences where AI characters reveal information they should not know, producing incoherent sessions that damage the platform reputation. The platform always enforces knowledge boundaries; the developer defines the schema. Complexity of schema determines cost tier. Competitor failures at this problem (Inworld, Convai) are the evidence base.",Section 2: Strategic Pillars,Committed,pillars
